Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
108,"Taylor Hendricks",MEM,27,4,2,2,3,0,1,0,2,8,0,1,25.0,0.0,-1.43,-0.73,-2.61
109,"Jack Kayil",NY,29,4,5,4,1,0,3,0,2,9,0,0,22.2,,-1.86,0.00,-2.67
110,"Noa Essengue",CHI,11,2,1,0,0,1,0,0,1,2,0,0,50.0,,0.14,0.00,-2.67
111,"Kennedy Chandler",CHI,13,2,1,2,0,0,0,0,0,1,1,1,0.0,100.0,-0.43,0.27,-2.77
112,"Dailyn Swain",CHI,21,4,2,1,1,0,1,0,1,5,1,1,20.0,100.0,-1.15,0.27,-2.81
113,"Lawson Lovering",MEM,17,4,4,2,0,0,3,0,2,3,0,0,66.7,,0.71,0.00,-2.87
114,"Robert McCray V",LAL,2,3,0,0,0,0,0,1,1,1,0,0,100.0,,0.57,0.00,-2.91
115,"Peter Suder",LAL,12,4,1,0,0,0,0,0,1,2,1,1,50.0,100.0,0.14,0.27,-2.96
116,"Lance Ware",NY,6,2,2,0,0,0,0,0,0,0,1,1,,100.0,0.00,0.27,-2.99
117,"Dillon Jones",NY,20,5,7,2,2,0,7,0,2,7,1,1,28.6,100.0,-1.00,0.27,-3.01
118,"Jalen Washington",CHI,4,2,1,0,0,0,0,0,0,1,2,2,0.0,100.0,-0.43,0.55,-3.17
119,"Jestin Porter",MEM,2,2,0,0,0,0,0,0,0,0,2,2,,100.0,0.00,0.55,-3.20
120,"Sam Alexis",OKC,7,2,2,0,0,1,2,0,1,1,0,0,100.0,,0.57,0.00,-3.22
121,"Guillermo Diaz Graham",DAL,8,6,3,0,0,0,0,0,2,4,1,2,50.0,50.0,0.28,-0.45,-3.27
122,"Tyson Degenhart",TOR,15,4,2,0,0,0,0,0,2,5,0,0,40.0,,-0.15,0.00,-3.38
123,"Giovanni Emejuru",DEN,12,2,3,0,1,0,1,0,1,4,0,0,25.0,,-0.72,0.00,-3.41
124,"Jalen Celestine",TOR,5,2,2,0,0,0,0,0,1,2,0,0,50.0,,0.14,0.00,-3.44
125,"Keyshawn Hall",MIA,14,2,4,0,1,0,2,0,0,3,1,1,0.0,100.0,-1.29,0.27,-3.59
126,"Christoph Tilly",OKC,13,5,1,0,0,0,2,0,2,3,1,1,66.7,100.0,0.71,0.27,-3.63
127,"Meechie Johnson",MIA,9,2,2,0,0,0,1,0,1,1,0,0,100.0,,0.57,0.00,-3.73
128,"Aaron Nkrumah",DEN,10,2,0,1,0,0,0,0,1,2,0,0,50.0,,0.14,0.00,-3.73
129,"Andrew Carr",POR,5,0,2,1,0,0,0,0,0,1,0,0,0.0,,-0.43,0.00,-3.73
130,"Nick Boyd",GS,13,6,1,1,1,0,2,0,2,8,1,1,25.0,100.0,-1.43,0.27,-3.79
131,"Isaac McKneely",ATL,9,2,0,0,0,0,0,0,1,1,0,0,100.0,,0.57,0.00,-3.85
132,"Chase Ross",LAL,3,0,0,0,0,1,1,0,0,0,0,0,,,0.00,0.00,-4.12
133,"Aziz Bandaogo",TOR,2,0,0,1,0,0,0,0,0,0,0,0,,,0.00,0.00,-4.15
134,"Brandon Angel",TOR,7,0,3,0,0,0,0,0,0,2,0,0,0.0,,-0.86,0.00,-4.19
135,"Kobe Johnson",ATL,23,4,0,2,1,0,2,0,2,7,0,0,28.6,,-1.00,0.00,-4.20
136,"Keyshawn Bryant",CHI,4,4,0,0,0,0,0,0,1,1,1,2,100.0,50.0,0.57,-0.45,-4.48
137,"Jacari White",LAL,2,0,0,1,0,0,0,0,0,1,0,0,0.0,,-0.43,0.00,-4.51
138,"Gabe Madsen",ATL,25,6,2,5,1,1,5,0,3,11,0,1,27.3,0.0,-1.72,-0.73,-4.56
139,"Luke Goode",LAL,3,0,1,0,0,0,0,0,0,1,0,0,0.0,,-0.43,0.00,-4.60
140,"Jevon Porter",MEM,2,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00,-4.63
141,"Efe Abogidi",DEN,2,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00,-4.63
142,"William Kyle III",LAL,9,4,3,0,0,0,0,0,1,1,1,3,100.0,33.3,0.57,-1.18,-4.81
